name,lat,lon,street,postcode,city,country,url,profile_url,tags,fidelity,note
Smartlab,52.2515855,6.159471800000006,Brink 70 (library) Dorrestraat 1 (techniekfabriek),,Deventer,NL,http://www.smartlabdeventer.nl,https://www.fablabs.io/labs/smartlabdeventer,3d-printing;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:SmartLab Deventer
FabLab Bibliotheek Drachten,53.1043266,6.0986397,Museumplein 1,9203DD,Drachten,NL,http://www.bibliotheekdrachten.nl,,,high,sources:trox(1);aka:Fablab Drachten
MakersLab,52.02209080000001,5.6612347,Bovenbuurtweg 7,6717XA,Ede,NL,http://www.makerslab.nl/,https://www.fablabs.io/labs/makerslab,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:MakersLab Ede
de Maakschappij,53.140105,6.5602463,Hobbemaweg 9,9761 HL,Eelde,NL,http://www.de-maakschappij.nl,,,high,sources:trox(1)
De Factorij,51.4481805,5.4575234,Klokgebouw 151/145 Strijp-S,5617 AB,Eindhoven,NL,http://www.de-factorij.nl,,,high,sources:trox(1)
FabLab Brainport,51.441642,5.46972249999999,,5616,Eindhoven,NL,http://www.brainportdevelopment.nl/project/fablab-brainport,https://www.fablabs.io/labs/fablabbrainport,,medium,sources:fabnetdata(1)
FabLab Brainport Eindhoven,51.4428819,5.4590815,Frederiklaan 60a,5616 NJ,Eindhoven,NL,http://www.fablabbrainport.nl,,,high,sources:trox(1)
Stadslab Eindhoven,51.43813429999999,5.4876593,Gasfabriek 6 Erfgoedhuis NRE,,Eindhoven,NL,http://stadslabeindhoven.nl,https://www.fablabs.io/labs/StadslabEHV,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata(1)
KinderFabLab,52.2317674,6.8944572,Stroinksbleekweg 2,7523 ZL,Enschede,NL,http://www.kinderfablab.nl,,,high,sources:trox(1)
Mini FabLab MakerHousehold,52.22638416594697,6.922359588885456,Amelinkhorst 4,7531GN,Enschede,NL,,https://www.fablabs.io/labs/makerhousehold,3d-printing;cnc;laser,medium,sources:fabnetdata(1)
Saxion FabLab Enschede,52.22023470000001,6.8886027,Van Galenstraat 20,7511 JL,Enschede,NL,http://www.fablabenschede.nl,https://www.fablabs.io/labs/fablabenschede,3d-printing;cnc;electronics;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:FabLab Enschede
Tetem Lab,52.2339502,6.895397399999999,Stroinksbleekweg 16,7523 ZL,Enschede,NL,https://tetem.nl/lab-en-research/,https://www.fablabs.io/labs/tetem,3d-printing;cnc;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:Wowlab
FabLab Goes,51.507191,3.89166999999998,,4461 BG,Goes,NL,http://fablabgoes.nl/,https://www.fablabs.io/labs/fablabgoes,,medium,sources:fabnetdata(1)
Fablab Groningen,53.2075291,6.5569822,"Edu-Lab: Verzetsstrijderslaan 2, 9727 CE Groningen Textile-Lab: Energieweg 7, 9743 AN Groningen",,Groningen,NL,http://www.fablabgroningen.nl,https://www.fablabs.io/labs/fablabgroningen,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata+trox(2)
Fablab Hardenberg,52.5759112,6.62415,Parkweg 1a5,7772 XP,Hardenberg,NL,https://www.fablabhardenberg.nl,,,high,sources:trox(1)
FabLab de Stookplaats i.o.,52.2241375,5.1719396,,,Hilversum,NL,http://www.destookplaats.nl,,,medium,sources:trox(1)
Fablab Bieb Hilversum,52.2273289,5.16713290000007,'s-Gravelandseweg 55,1217 EH,Hilversum,NL,http://www.bibliotheekhilversum.nl/fablab1.html,https://www.fablabs.io/labs/fablabbiebhilversum,3d-printing;laser,high,sources:fabnetdata+trox(2);aka:FabLab Bieb Hilversum
dFix,52.653272,5.0735802,,,Hoorn,NL,http://www.3dfix.nl,,,medium,sources:trox(1)
tinkerinQ FabLab Houten,52.03508129999999,5.1638547,Dijkhoeve 1,3992 XV,Houten,NL,http://www.tinkerinq.nl,https://www.fablabs.io/labs/tinkerinq,3d-printing;cnc;laser;vinyl-cutting,high,sources:fabnetdata+trox(2);aka:TinkerinQ FabLab Houten
D'lab Leeuwarden,53.1997459,5.800718499999999,Blokhuisplein 40,8911 LJ,Leeuwarden,NL,https://www.dlab.nl/,https://www.fablabs.io/labs/DlabLWD,3d-printing;cnc;electronics;laser;precision-milling;vinyl-cutting,high,sources:fabnetdata(1)
Frysklab,53.1934684,5.8454642,Zuiderkruisweg 4,8903 JM,Leeuwarden,NL,http://www.frysklab.nl,,,high,sources:trox(1)
